Indicator
#1-4-1
#1-5-1
#11-5-1
#13-1-1
#15-1-1
#2-4-E1
#2-a-1
#5-2-1
#5-2-2
#6-2-1
#7-b-1
#8-5-2
#8-5-E1
#9-2-1
